OVR;Pos;Rank;Tier;Name;Team;Bye;
71;QB;QB23;5;Trevor Lawrence;JAX;wk8;
72;QB;QB24;5;Sam Darnold;SEA;wk8;
73;QB;QB25;5;Michael Penix;ATL;wk5;
74;QB;QB26;5;Bryce Young;CAR;wk14;
75;QB;QB27;6;Aaron Rodgers;PIT;wk5;
76;QB;QB28;6;Cameron Ward;TEN;wk10;
77;RB;RB20;3;Omarion Hampton;LAC;wk12;
78;RB;RB21;3;Aaron Jones;MIN;wk6;
79;RB;RB22;3;TreVeyon Henderson;NE;wk14;
80;RB;RB23;3;Kaleb Johnson;PIT;wk5;
81;RB;RB24;3;RJ Harvey;DEN;wk12;
82;WR;WR27;5;Courtland Sutton;DEN;wk12;
83;WR;WR28;5;Jameson Williams;DET;wk8;
84;WR;WR29;6;Chris Godwin;TB;wk9;
85;WR;WR30;6;Calvin Ridley;TEN;wk10;
86;WR;WR31;6;Rome Odunze;CHI;wk5;
87;WR;WR32;6;Chris Olave;NO;wk11;
88;WR;WR33;6;Tetairoa McMillan;CAR;wk14;
89;WR;WR34;6;Xavier Worthy;KC;wk10;
90;QB;QB29;6;Tyler Shough;NO;wk11;
91;QB;QB30;6;Daniel Jones;IND;wk11;
92;RB;RB25;3;Tony Pollard;TEN;wk10;
93;RB;RB26;3;David Montgomery;DET;wk8;
94;RB;RB27;4;D'Andre Swift;CHI;wk5;
95;WR;WR35;6;Jauan Jennings;SF;wk14;
96;WR;WR36;6;Travis Hunter;JAX;wk8;
97;WR;WR37;6;Jordan Addison;MIN;wk6;
98;RB;RB28;4;Brian Robinson;WAS;wk12;
99;RB;RB29;4;Isiah Pacheco;KC;wk10;
100;RB;RB30;5;Quinshon Judkins;CLE;wk9;
101;WR;WR38;6;Stefon Diggs;NE;wk14;
102;WR;WR39;6;Jerry Jeudy;CLE;wk9;
103;WR;WR40;6;Darnell Mooney;ATL;wk5;
104;QB;QB31;6;Russell Wilson;NYG;wk14;
105;QB;QB32;6;Kenny Pickett;CLE;wk9;
106;RB;RB31;5;Javonte Williams;DAL;wk10;
107;RB;RB32;5;Cam Skattebo;NYG;wk14;
108;RB;RB33;5;Jaylen Warren;PIT;wk5;
109;RB;RB34;5;Travis Etienne;JAX;wk8;
110;TE;TE4;2;Sam LaPorta;DET;wk8;
111;TE;TE5;2;Travis Kelce;KC;wk10;
112;TE;TE6;2;T.J. Hockenson;MIN;wk6;
113;TE;TE7;2;David Njoku;CLE;wk9;
114;TE;TE8;2;Evan Engram;DEN;wk12;
115;TE;TE9;2;Mark Andrews;BAL;wk7;
116;WR;WR41;6;Jakobi Meyers;LV;wk8;
117;WR;WR42;6;Khalil Shakir;BUF;wk7;
118;WR;WR43;6;Matthew Golden;GB;wk5;
119;WR;WR44;6;Jayden Reed;GB;wk5;
120;RB;RB35;6;Tyrone Tracy;NYG;wk14;
121;RB;RB36;6;Austin Ekeler;WAS;wk12;
122;TE;TE10;2;Hunter Henry;NE;wk14;
123;TE;TE11;3;Dallas Goedert;PHI;wk9;
124;WR;WR45;6;Josh Downs;IND;wk11;
125;WR;WR46;6;Ricky Pearsall;SF;wk14;
126;WR;WR47;6;Adam Thielen;CAR;wk14;
127;WR;WR48;6;Cooper Kupp;SEA;wk8;
128;WR;WR49;6;Cedric Tillman;CLE;wk9;
129;RB;RB37;6;J.K. Dobbins;DEN;wk12;
130;RB;RB38;6;Najee Harris;LAC;wk12;
131;RB;RB39;6;Rhamondre Stevenson;NE;wk14;
132;RB;RB40;6;Tank Bigsby;JAX;wk8;
133;RB;RB41;6;Zach Charbonnet;SEA;wk8;
134;WR;WR50;7;Deebo Samuel;WAS;wk12;
135;WR;WR51;7;Kyle Williams;NE;wk14;
136;WR;WR52;7;Tre Harris;LAC;wk12;
137;WR;WR53;7;Rashid Shaheed;NO;wk11;
138;WR;WR54;7;Michael Pittman;IND;wk11;
139;WR;WR55;7;Jayden Higgins;HOU;wk6;
140;WR;WR56;7;Emeka Egbuka;TB;wk9;
141;RB;RB42;7;Tyjae Spears;TEN;wk10;
142;RB;RB43;7;Jordan Mason;MIN;wk6;
143;RB;RB44;7;Dylan Sampson;CLE;wk9;
144;RB;RB45;7;Jaylen Wright;MIA;wk12;
145;RB;RB46;7;Jaydon Blue;DAL;wk10;
146;RB;RB47;7;Rico Dowdle;CAR;wk14;
147;RB;RB48;8;Trey Benson;ARI;wk8;
148;RB;RB49;8;Ray Davis;BUF;wk7;
149;RB;RB50;8;Tyler Allgeier;ATL;wk5;
150;TE;TE12;3;Dalton Kincaid;BUF;wk7;
151;QB;QB33;7;Anthony Richardson;IND;wk11;
152;QB;QB34;7;Shedeur Sanders;CLE;wk9;
153;QB;QB35;7;Jaxson Dart;NYG;wk14;
154;TE;TE13;4;Jake Ferguson;DAL;wk10;
155;TE;TE14;4;Zach Ertz;WAS;wk12;
156;TE;TE15;4;Tyler Warren;IND;wk11;
157;TE;TE16;4;Tucker Kraft;GB;wk5;
158;WR;WR57;7;Christian Kirk;HOU;wk6;
159;WR;WR58;7;Keon Coleman;BUF;wk7;
160;WR;WR59;7;Jack Bech;LV;wk8;
161;RB;RB51;8;Rachaad White;TB;wk9;
162;RB;RB52;8;Isaac Guerendo;SF;wk14;
163;RB;RB53;8;MarShawn Lloyd;GB;wk5;
164;RB;RB54;8;Bhayshul Tuten;JAX;wk8;
165;RB;RB55;8;Roschon Johnson;CHI;wk5;
166;RB;RB56;8;Kareem Hunt;KC;wk10;
167;WR;WR60;7;Tyler Lockett;TEN;wk10;
168;WR;WR61;8;Rashod Bateman;BAL;wk7;
169;WR;WR62;8;Xavier Legette;CAR;wk14;
170;WR;WR63;8;Hollywood Brown;KC;wk10;
171;WR;WR64;8;Diontae Johnson;CLE;wk9;
172;WR;WR65;8;Dontayvion Wicks;GB;wk5;
173;WR;WR66;8;Romeo Doubs;GB;wk5;
174;WR;WR67;8;Wan'Dale Robinson;NYG;wk14;
175;TE;TE17;4;Jonnu Smith;PIT;wk5;
176;TE;TE18;5;Brenton Strange;JAX;wk8;
177;TE;TE19;5;Colston Loveland;CHI;wk5;
178;TE;TE20;5;Kyle Pitts;ATL;wk5;
179;WR;WR68;8;Jalen Coker;CAR;wk14;
180;WR;WR69;8;Joshua Palmer;BUF;wk7;
181;WR;WR70;9;DeMario Douglas;NE;wk14;
182;WR;WR71;9;Quentin Johnston;LAC;wk12;
183;WR;WR72;9;Pat Bryant;DEN;wk12;
184;WR;WR73;9;Marvin Mims;DEN;wk12;
185;WR;WR74;9;Isaac TeSlaa;DET;wk8;
186;WR;WR75;9;Roman Wilson;PIT;wk5;
187;RB;RB57;8;Kendre Miller;NO;wk11;
188;RB;RB58;8;Braelon Allen;NYJ;wk9;
189;RB;RB59;8;Nick Chubb;HOU;wk6;
190;RB;RB60;9;Brashard Smith;KC;wk10;
191;RB;RB61;9;Kyle Monangai;CHI;wk5;
192;TE;TE21;5;Dalton Schultz;HOU;wk6;
193;TE;TE22;6;Mason Taylor;NYJ;wk9;
194;WR;WR76;9;Luther Burden;CHI;wk5;
195;WR;WR77;9;Devaughn Vele;DEN;wk12;
196;WR;WR78;9;Marquez Valdes-Scantling;SEA;wk8;
197;WR;WR79;9;Alec Pierce;IND;wk11;
198;WR;WR80;9;Josh Reynolds;NYJ;wk9;
199;TE;TE23;6;Juwan Johnson;NO;wk11;
200;TE;TE24;6;Tyler Higbee;LAR;wk8;
201;TE;TE25;6;Pat Freiermuth;PIT;wk5;
202;TE;TE26;6;Oronde Gadsden;LAC;wk12;
203;TE;TE27;6;Mike Gesicki;CIN;wk10;
204;WR;WR81;9;Dyami Brown;JAX;wk8;
205;WR;WR82;9;Darius Slayton;NYG;wk14;
206;WR;WR83;9;Michael Wilson;ARI;wk8;
207;WR;WR84;9;DeAndre Hopkins;BAL;wk7;
208;WR;WR85;9;Jalen Tolbert;DAL;wk10;
209;RB;RB62;9;Jarquez Hunter;LAR;wk8;
210;RB;RB63;9;Miles Sanders;DAL;wk10;
211;RB;RB64;9;Raheem Mostert;LV;wk8;
212;RB;RB65;9;Tahj Brooks;CIN;wk10;
213;TE;TE28;6;Isaiah Likely;BAL;wk7;
214;TE;TE29;6;Chig Okonkwo;TEN;wk10;
215;TE;TE30;6;Theo Johnson;NYG;wk14;
216;WR;WR86;9;Tory Horton;SEA;wk8;
217;WR;WR87;9;Andrei Iosivas;CIN;wk10;
218;WR;WR88;9;Robert Woods;PIT;wk5;
219;RB;RB66;9;Blake Corum;LAR;wk8;
220;RB;RB67;9;Woody Marks;HOU;wk6;
221;WR;WR89;9;Jalen McMillan;TB;wk9;
222;WR;WR90;9;Dont'e Thornton;LV;wk8;
223;WR;WR91;9;Tre Tucker;LV;wk8;
224;WR;WR92;9;Arian Smith;NYJ;wk9;
225;WR;WR93;9;Nick Westbrook-Ikhine;MIA;wk12;
226;WR;WR94;9;Greg Dortch;ARI;wk8;
227;WR;WR95;9;Brandin Cooks;NO;wk11;
228;RB;RB68;9;Jordan James;SF;wk14;
229;RB;RB69;9;Cam Akers;NO;wk11;
230;RB;RB70;9;Jacory Croskey-Merritt;WAS;wk12;
231;QB;QB36;7;Jalen Milroe;SEA;wk8;
232;QB;QB37;7;Kirk Cousins;ATL;wk5;
233;QB;QB38;7;Joe Flacco;CLE;wk9;
234;QB;QB39;7;Mason Rudolph;PIT;wk5;
235;QB;QB40;7;Spencer Rattler;NO;wk11;
236;QB;QB41;7;Will Levis;TEN;wk10;
237;QB;QB42;7;Jameis Winston;NYG;wk14;
238;TE;TE31;6;Cade Otton;TB;wk9;
239;TE;TE32;6;Ja'Tavion Sanders;CAR;wk14;
240;TE;TE33;6;Darren Waller;MIA;wk12;
241;WR;WR96;9;Tutu Atwell;LAR;wk8;
242;WR;WR97;9;Ray-Ray McCloud;ATL;wk5;
243;WR;WR98;9;Malachi Corley;NYJ;wk9;
244;WR;WR99;9;Calvin Austin;PIT;wk5;
