OVR,Rank,Tier,Name
154,RB51,8,Antonio Gibson
155,RB52,8,Khalil Herbert
156,RB53,8,Keaton Mitchell
157,TE17,6,Tyler Conklin
158,TE18,6,Dalton Schultz
159,TE19,6,Jonnu Smith
160,TE20,6,Mike Gesicki
161,WR68,10,Ricky Pearsall
162,WR69,10,Josh Downs
163,WR70,10,Jermaine Burton
164,QB21,4,Geno Smith
165,QB22,4,Deshaun Watson
166,RB54,8,Jaylen Wright
167,RB55,8,Braelon Allen
168,RB56,8,Tank Bigsby
169,RB57,8,Kimani Vidal
170,QB23,5,Baker Mayfield
171,QB24,5,Russell Wilson
172,QB25,5,Bryce Young
173,TE21,6,Cole Kmet
174,TE22,6,Hayden Hurst
175,TE23,7,Colby Parkinson
176,WR71,10,Demarcus Robinson
177,WR72,10,Gabe Davis
178,WR73,10,Roman Wilson
179,RB58,8,Justice Hill
180,RB59,8,Trey Sermon
181,RB60,8,Jordan Mason
182,RB61,8,Roschon Johnson
183,WR74,10,Adam Thielen
184,WR75,10,Xavier Legette
185,WR76,10,Wan'Dale Robinson
186,WR77,10,Greg Dortch
187,QB26,5,Derek Carr
188,QB27,6,Will Levis
189,QB28,6,Sam Darnold
190,QB29,6,Daniel Jones
191,RB62,8,Kendre Miller
192,RB63,8,Bucky Irving
193,RB64,8,Will Shipley
194,RB65,8,Audric Estime
195,WR78,10,Elijah Moore
196,WR79,10,Jalin Hyatt
197,WR80,10,Luke McCaffrey
198,RB66,8,Dameon Pierce
199,QB30,6,Bo Nix
200,TE24,7,Zach Ertz
201,QB30,6,Drake Maye
202,QB31,6,Gardner Minshew
203,QB32,6,Bo Nix
204,QB33,6,Justin Fields
205,QB34,6,Zach Wilson
206,QB35,6,Drew Lock
207,QB36,6,Jacoby Brissett
208,TE25,7,Noah Fant
209,TE26,7,Cade Otton
210,TE27,7,T.J. Hockenson
211,TE28,7,Theo Johnson
212,TE29,7,JaTavion Sanders
213,TE30,7,Ben Sinnott
214,TE31,7,Isaiah Likely
215,TE32,7,Chigoziem Okonkwo
216,TE33,7,Juwan Johnson
217,TE34,7,Will Dissly
218,TE35,7,Jelani Woods
219,TE36,7,Davis Allen
